poiID,poiCat,poiLon,poiLat
3976,Shops:Department Store,139.7029051,35.6913487
41704,Travel:Train Station:Train,132.1497667,34.16480099
52069,College & Education:Bookstore,126.9802978,37.5701623
67,Travel:Airport,-122.3861504,37.61637306
56,Food:Coffee Shop,-73.991431,40.7404
154,Travel:Subway,-73.99240494,40.74998796
215,Travel:Airport,-118.4029198,33.94417879
454,Travel:Train Station,-73.97708416,40.75304394
66,Travel:Airport,-73.78349304,40.64512192
495,Shops:Food & Drink:Grocery / Supermarket,-73.99116039,40.73493033
69750,College & Education:Academic Building,139.760288,35.71055471
94,Travel:Airport,-73.87192011,40.77430186
153,Shops:Technology,-74.005467,40.741161
963,Travel:Airport,-87.90384293,41.97783721
46899,Uncategorized,34.982056,32.220494
52327,Travel:Train Station,139.7002521,35.69096328
174,Travel:Airport:Food Court,-104.6737862,39.8499302
2170,Travel:Airport:Plane,-84.44063902,33.64063339
11158,Home / Work / Other:Gym / Fitness:Gym,-73.9793644,40.7844871
106039,Travel:Train Station:Train,37.6622057,55.75750051
16244,Uncategorized,-73.761059,40.720671
1450,Travel:Airport,-71.02154732,42.36831045
130969,Travel:Train Station:Train,139.7011614,35.65865615
857,Travel:Airport,-122.3026371,47.44370463
745,Parks & Outdoors:Other - Parks & Outdoor,-73.99045229,40.7358441
