trajID,userID,start_poi,start_time,poi_sequence,end_poi,end_time
0,user_fred_wilson,154,1268761170,154 155 158,158,1268799844
1,user_ben_parr,94,1255019139,94 963 67,67,1255060113
2,user_maia_bittner,745,1283721751,745 153 495,495,1283750026
3,user_harj_taggar,1010,1267493861,1010 880 715,715,1267523718
4,user_kevin_palmer,215,1278738128,215 67 2215,2215,1278757613
5,user_mark_g,604,1253740445,604 67 66,66,1253777927
6,user_mark_g,436,1257538369,436 3498 127,127,1257557399
7,user_mark_g,604,1258069455,604 67 66 3498,3498,1258111886
8,user_mark_g,127,1258675853,127 3498 158,158,1258691811
9,user_mark_g,127,1259355194,127 158 3498,3498,1259377345
10,user_mark_g,3498,1259711287,3498 158 127 2525,2525,1259726396
11,user_mark_g,495,1260738105,495 127 3976,3976,1260755505
12,user_mark_g,889,1262932782,889 66 158 3498,3498,1262939683
13,user_mark_g,127,1262995082,127 3498 158 3976,3976,1263033358
14,user_mark_g,127,1263270390,127 454 158 2525,2525,1263289644
15,user_mark_g,158,1263795344,158 3498 3912,3912,1263803058
16,user_mark_g,3660,1263850352,3660 153 158 127,127,1263878326
17,user_mark_g,127,1264110352,127 3498 436,436,1264144227
18,user_mark_g,3168,1265238415,3168 127 3498,3498,1265259651
19,user_mark_g,745,1265683896,745 127 158,158,1265693255
20,user_mark_g,436,1266093521,436 127 3498,3498,1266138490
21,user_mark_g,127,1266368023,127 3498 158 436,436,1266390034
22,user_mark_g,495,1266784584,495 127 3498,3498,1266800958
23,user_mark_g,3498,1267233759,3498 158 127,127,1267233787
24,user_mark_g,3498,1267491260,3498 127 158,158,1267508060
25,user_mark_g,436,1267553367,436 3498 158,158,1267580304
26,user_mark_g,3660,1267647801,3660 127 436,436,1267649768
27,user_mark_g,127,1267922655,127 158 436,436,1267953247
28,user_mark_g,3498,1268099071,3498 127 436,436,1268126897
29,user_mark_g,158,1268371562,158 127 436 1894,1894,1268391910
30,user_mark_g,436,1268507317,436 127 158,158,1268525880
31,user_mark_g,1894,1268587160,1894 2110 127 97,97,1268606783
32,user_mark_g,436,1269107423,436 158 127 3498 3735,3735,1269147531
33,user_mark_g,436,1269478258,436 158 127,127,1269498508
34,user_mark_g,3498,1269550706,3498 436 158,158,1269577941
35,user_mark_g,127,1269894190,127 436 3498,3498,1269900334
36,user_mark_g,127,1270247080,127 158 153,153,1270247112
37,user_mark_g,66,1271255602,66 3498 127 158 436,436,1271288361
38,user_mark_g,604,1271459087,604 67 158,158,1271480383
39,user_mark_g,158,1271644116,158 436 3498,3498,1271663371
40,user_mark_g,158,1271876359,158 56 3498,3498,1271922676
41,user_mark_g,153,1271965042,153 436 158,158,1271970230
42,user_mark_g,158,1272332480,158 127 495,495,1272338894
43,user_mark_g,3498,1272400585,3498 158 436,436,1272426163
44,user_mark_g,215,1273255057,215 66 3498 436 158,158,1273294854
45,user_mark_g,127,1273689176,127 158 3498 436,436,1273720452
46,user_mark_g,158,1277280572,158 3498 1735,1735,1277311796
47,user_mark_g,127,1277497599,127 436 3498 158,158,1277538920
48,user_bryce_roberts,56,1260306319,56 54 154,154,1260336109
49,user_bryce_roberts,66,1271123544,66 158 436,436,1271145418
50,user_seth_goldstein,54,1256686660,54 66 67,67,1256723348
51,user_seth_goldstein,454,1282080451,454 3168 436,436,1282105741
52,user_ryan_sarver,97,1237071124,97 2110 1894,1894,1237092485
53,user_dens,66,1268362045,66 97 1894,1894,1268390376
54,user_dennis_mykytyn,3277,1275331087,3277 745 2525,2525,1275357379
55,user_dave_whelan,215,1250814673,215 67 880,880,1250827704
56,user_dave_whelan,215,1256293976,215 2170 1735,1735,1256322202
57,user_mike_hudack,3277,1253995122,3277 127 836,836,1254011384
58,user_daryn_nakhuda,2110,1268775906,2110 97 857,857,1268810337
59,user_tereza_nemessanyi,215,1268224279,215 66 436,436,1268257832
60,user_micah_baldwin,56,1247684395,56 148 94 174,174,1247726307
61,user_micah_baldwin,97,1268542201,97 2110 1894,1894,1268574007
62,user_micah_baldwin,836,1285094344,836 56 66 215,215,1285154869
63,user_matt_galligan,3277,1276628937,3277 54 148 94 174,174,1276673531
64,user_austin_bryan,153,1285193834,153 56 495,495,1285206577
65,user_doug_hirsch,215,1285881914,215 645 67,67,1285922087
66,user_jennifer_van_grove,880,1277332755,880 67 997,997,1277364020
67,user_jennifer_van_grove,67,1305144496,67 997 2170,2170,1305163329
68,user_sean_percival,215,1268347124,215 97 2110,2110,1268372634
69,user_owen_thomas,4090,1269131387,4090 67 215,215,1269142465
70,user_julie_minevich,1192,1254423801,1192 115 1450,1450,1254447487
71,user_julie_minevich,115,1269658037,115 66 1450,1450,1269676595
72,user_susan_beebe,94,1273178180,94 495 2006,2006,1273203090
73,user_susan_beebe,148,1273274572,148 3912 94,94,1273281853
74,user_sarah_cooley,94,1268343419,94 97 2110,2110,1268380850
75,user_brad_nelson,3660,1276637670,3660 153 66,66,1276656862
76,user_amber_rae_lambke,66,1268243494,66 97 1894,1894,1268274287
77,user_ryan_lawler,3912,1253840229,3912 148 3277,3277,1253852053
78,user_adam_jackson,645,1270500519,645 880 1010,1010,1270501681
79,user_adam_jackson,880,1271277955,880 1302 1010,1010,1271278636
80,user_adam_jackson,1010,1271486178,1010 880 604,604,1271489460
81,user_adam_jackson,1302,1273610540,1302 880 1010,1010,1273611129
82,user_adam_jackson,1302,1275189209,1302 645 880,880,1275210596
83,user_adam_jackson,715,1276029697,715 880 1010,1010,1276030801
84,user_adam_jackson,880,1280436935,880 1010 67,67,1280440215
85,user_mario_sundar,215,1252365486,215 67 715,715,1252389062
86,user_paul_stamatiou,97,1268432656,97 1894 2110,2110,1268445159
87,user_esther_assaad,67,1268365111,67 174 97,97,1268397678
88,user_esther_assaad,97,1268798135,97 174 67,67,1268822511
89,user_esther_assaad,67,1273829365,67 66 5971 20514 158,158,1273877374
90,user_esther_assaad,67,1286579944,67 215 963,963,1286605569
91,user_maya_baratz,67,1260790426,67 66 436,436,1260813766
92,user_maya_baratz,67,1268334696,67 97 2110,2110,1268363808
93,user_caroline_mccarthy,67,1260270125,67 66 154,154,1260302058
94,user_caroline_mccarthy,54,1268091486,54 56 3498,3498,1268114920
95,user_andrew_mager,67,1270692755,67 2499 963,963,1270723704
96,user_eric_martinez,56,1268934224,56 745 495,495,1268963062
97,user_eric_martinez,8014,1269213255,8014 66 56 997,997,1269254460
98,user_iamkhayyam,857,1267748061,857 2215 215,215,1267761314
99,user_iamkhayyam,158,1290010706,158 127 296,296,1290010874
100,user_adam_ostrow,154,1285797278,154 94 2170,2170,1285834582
101,user_jim_techfrog_alden,215,1268338479,215 174 97 2110,2110,1268364291
102,user_nathaniel_mcnamara,67,1280982018,67 215 66,66,1281018492
103,user_tina_hui,67,1268463828,67 889 97,97,1268483057
104,user_tina_hui,97,1268677298,97 215 67,67,1268697961
105,user_isaac_hall,67,1268613038,67 97 1894,1894,1268658767
106,user_christine_ngo,67,1273574364,67 66 3902,3902,1273604794
107,user_reyner_crosby,153,1284843419,153 128 296 66 1450,1450,1284882944
108,user_cap_watkins,67,1268362023,67 97 2110,2110,1268383088
109,user_melody_mccloskey,67,1268352232,67 174 97,97,1268375746
110,user_siobhan_quinn,3277,1288121520,3277 3735 54,54,1288148516
111,user_siobhan_quinn,67,1288690307,67 66 54,54,1288732772
112,user_siobhan_quinn,8014,1298506571,8014 3735 54,54,1298511390
113,user_siobhan_quinn,54,1299878454,54 66 97,97,1299915679
114,user_siobhan_quinn,8014,1301609098,8014 3277 54 495,495,1301628853
115,user_siobhan_quinn,3735,1305922398,3735 54 8014,8014,1305929983
116,user_patrick_collison,54,1287178579,54 66 67,67,1287224594
117,user_tessa_horehled,2170,1243702822,2170 94 454 745,745,1243724221
118,user_tessa_horehled,153,1243983664,153 3660 3912 8014,8014,1244012328
119,user_tessa_horehled,745,1250115978,745 94 2170,2170,1250148845
120,user_tessa_horehled,745,1252628426,745 56 436,436,1252645548
121,user_tessa_horehled,16242,1252684666,16242 154 2170,2170,1252710294
122,user_tessa_horehled,454,1256445893,454 836 7410,7410,1256462313
123,user_tessa_horehled,454,1275955834,454 2006 7410,7410,1275963420
124,user_tessa_horehled,56,1276138143,56 745 495,495,1276144557
125,user_tara_hunt,97,1237419073,97 215 67,67,1237442263
126,user_mohammed_al_taee,2006,1284260840,2006 3912 154,154,1284264549
127,user_kate_ritchie,5910,1280603276,5910 56 154,154,1280605538
128,user_kate_ritchie,11158,1282233088,11158 56 7410,7410,1282241364
129,user_kate_ritchie,7410,1284071933,7410 495 11158,11158,1284087715
130,user_kate_ritchie,495,1297037854,495 56 7410,7410,1297041394
131,user_kate_ritchie,7410,1298491016,7410 56 20514,20514,1298521153
132,user_kate_ritchie,56,1299188945,56 8014 7410 20514,20514,1299204871
133,user_kate_ritchie,7410,1299785229,7410 20514 56,56,1299808701
134,user_kate_ritchie,20514,1302746353,20514 56 7410,7410,1302754852
135,user_kate_ritchie,56,1304533641,56 20514 7410,7410,1304566317
136,user_kate_ritchie,56,1305831120,56 20514 3912,3912,1305842566
137,user_david_riordan,454,1237756387,454 127 148,148,1237786435
138,user_david_riordan,836,1248823192,836 454 8014 154 155,155,1248854796
139,user_teresa_wu,66,1279908404,66 889 67,67,1279940002
140,user_robert_jones7,963,1275066900,963 94 56,56,1275094256
141,user_mario_anima,67,1237024769,67 963 97,97,1237065362
142,user_mario_anima,67,1268422779,67 997 97 2110,2110,1268447579
143,user_mario_anima,97,1268848448,97 215 67,67,1268871052
144,user_sean_andersen,154,1266528378,154 56 3735,3735,1266550034
145,user_stuart_tracte,745,1283450959,745 56 54,54,1283473691
146,user_fernando_maclen,3912,1268954589,3912 153 2525,2525,1268972239
147,user_james_cox,66,1271347848,66 67 215,215,1271383343
148,user_kirtan_patel,67,1269577451,67 56 3735,3735,1269577578
149,user_jill_hanner,454,1257729951,454 836 56,56,1257740571
150,user_jill_hanner,94,1268409411,94 97 2110,2110,1268443967
151,user_ed_palumbo,963,1268425677,963 2110 1894,1894,1268442051
